OTU,Genus,Family,Order,Class,Phylum
94,Otu000162,Eggerthella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
95,Otu000163,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
96,Otu000165,Collinsella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
97,Otu000166,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
98,Otu000170,Clostridium_XlVb,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
99,Otu000171,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
100,Otu000172,Cloacibacillus,Synergistaceae,Synergistales,Synergistia,Synergistetes
101,Otu000174,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
102,Otu000175,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
103,Otu000176,Asaccharobacter,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
104,Otu000177,Flavonifractor,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
105,Otu000179,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
106,Otu000187,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
107,Otu000188,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
108,Otu000190,Sporobacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
109,Otu000191,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
110,Otu000193,Clostridium_sensu_stricto,Clostridiaceae_1,Clostridiales,Clostridia,Firmicutes
111,Otu000194,Megamonas,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
112,Otu000198,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
113,Otu000199,Mogibacterium,Clostridiales_Incertae_Sedis_XIII,Clostridiales,Clostridia,Firmicutes
114,Otu000203,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
115,Otu000206,Clostridium_sensu_stricto,Clostridiaceae_1,Clostridiales,Clostridia,Firmicutes
116,Otu000208,Clostridium_sensu_stricto,Clostridiaceae_1,Clostridiales,Clostridia,Firmicutes
117,Otu000216,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
118,Otu000217,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
119,Otu000224,Peptococcus,Peptococcaceae_1,Clostridiales,Clostridia,Firmicutes
120,Otu000226,Succinivibrio,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria
121,Otu000227,Butyricicoccus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
122,Otu000232,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
123,Otu000237,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
124,Otu000241,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
125,Otu000245,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
126,Otu000248,Slackia,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
127,Otu000258,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
128,Otu000259,Howardella,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
129,Otu000260,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
130,Otu000261,Sutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
131,Otu000263,Sutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
132,Otu000264,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
133,Otu000267,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
134,Otu000270,Asaccharobacter,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
135,Otu000272,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
136,Otu000277,Parabacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
137,Otu000278,Clostridium_XlVb,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
138,Otu000279,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
139,Otu000281,Parvimonas,Clostridiales_Incertae_Sedis_XI,Clostridiales,Clostridia,Firmicutes
140,Otu000286,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
141,Otu000291,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
142,Otu000294,Clostridium_XlVb,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
143,Otu000297,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
144,Otu000298,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
